plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD hash hash_hdld engine_trig_fibres engine_data_fibres engine_ctrl_fibres dataPp0 trigPp0 dataPp0_type trigPp0_type dataPp1 trigPp1 dataPp1_type trigPp1_type dataPp2 DAQ
1 4 2 FI 507.020 292.730 3 6 507.000 195.900 590.800 244.400 590.800 341.200 507.000 389.500 423.200 341.200 423.200 244.400 507.000 195.900 1 5.070 6.000 2.068 3.000 2.210 3.000 3 0 False 6 7.200 0 30.000 1 104020.000 104021 2 1 1 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_3 DAQ_1_2
1 4 3 FI 423.200 437.900 4 6 423.200 341.200 507.000 389.500 507.000 486.300 423.200 534.700 339.400 486.300 339.400 389.500 423.200 341.200 1 4.799 5.000 1.971 3.000 2.087 3.000 2 0 False 6 7.200 0 45.978 1 104030.000 104031 3 2 2 PP0(CE-)L1/C01_FO_1_3 PP0(CE-)L1/C01_FO_2_2 C A PP1(CE-)5_FO_1_3 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_1 DAQ_1_1
1 4 4 FI 335.278 585.458 4 6 419.103 537.107 419.087 633.880 335.343 682.230 251.440 633.907 251.493 536.998 335.237 488.648 419.103 537.107 2 4.185 5.000 1.738 2.000 1.808 2.000 100 0 True 6 7.200 0 60.201 1 104040.000 104041 3 2 2 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_2 A A PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_18 DAQ_2_6
1 4 5 FI 251.458 730.638 4 6 335.343 682.230 335.240 779.053 251.496 827.403 167.593 779.080 167.696 682.257 251.440 633.907 335.343 682.230 2 3.425 4.000 1.484 2.000 1.512 2.000 101 0 True 6 7.200 0 71.008 1 104050.000 104051 4 2 2 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_3 A B PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_3 Ap Ap PPFO(CE-)X5_18 DAQ_2_6
1 4 6 FM 167.638 875.818 1 6 251.496 827.403 251.393 924.226 167.562 972.626 83.833 924.203 83.762 827.480 167.593 779.080 251.496 827.403 2 2.924 3.000 1.011 2.000 0.985 2.000 107 0 False 3 3.600 0 79.164 0 104060.000 104060 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_12 DAQ_2_2
1 4 7 FO 83.827 1020.993 1 6 167.562 972.626 167.633 1069.349 83.802 1117.749 -0.014 1069.376 0.002 972.603 83.833 924.203 167.562 972.626 2 2.549 3.000 0.834 1.000 0.793 1.000 110 0 False 3 3.600 0 85.306 0 104070.000 104070 2 1 1 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_2 A A PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_18 DAQ_2_6
1 4 8 FO -0.006 1166.170 1 6 83.802 1117.749 83.836 1214.609 0.005 1263.009 -83.861 1214.549 -83.845 1117.776 -0.014 1069.376 83.802 1117.749 2 2.187 3.000 0.690 1.000 0.658 1.000 111 0 True 3 3.600 0 90.000 0 104080.000 104080 2 1 1 PP0(CE-)L1/C02_FO_1_3 PP0(CE-)L1/C02_FO_2_2 C A PP1(CE-)11_FO_1_3 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_10 DAQ_2_1
1 4 9 FO -83.820 1311.359 5 6 0.005 1263.009 -0.011 1359.782 -83.842 1408.182 -167.571 1359.759 -167.692 1262.949 -83.861 1214.549 0.005 1263.009 2 1.698 2.000 0.563 1.000 0.549 1.000 111 0 False 3 3.600 0 93.657 0 104090.000 104090 2 1 1 PP0(CE-)L1/C02_FO_1_3 PP0(CE-)L1/C02_FO_2_2 C A PP1(CE-)11_FO_1_3 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_10 DAQ_2_1
1 4 10 bOeLR -167.640 1456.539 3 5 -83.771 1504.904 -251.418 1504.932 -251.489 1408.209 -167.571 1359.759 -83.842 1408.182 -83.771 1504.904 0.000 0.000 2 1.214 2.000 0.382 1.000 0.382 1.000 111 0 False 3 3.600 0 96.566 0 104100.000 104100 2 1 1 PP0(CE-)L1/C02_FO_1_3 PP0(CE-)L1/C02_FO_2_2 C A PP1(CE-)11_FO_1_3 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_10 DAQ_2_1
1 5 0 FM 842.300 2.370 0 6 842.300 -94.400 926.100 -46.000 926.100 50.700 842.300 99.200 758.500 50.700 758.500 -46.000 842.300 -94.400 1 3.172 4.000 1.109 2.000 1.086 2.000 9 0 False 3 3.600 0 0.161 0 105000.000 105000 2 1 1 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_9 DAQ_1_6
1 5 1 FI 758.480 147.550 3 6 758.500 50.700 842.300 99.200 842.300 195.900 758.500 244.400 674.700 195.900 674.700 99.200 758.500 50.700 1 3.425 4.000 1.484 2.000 1.512 2.000 1 0 True 6 7.200 0 11.008 1 105010.000 105011 4 2 2 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_3 A B PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_9 DAQ_1_6
1 5 2 FI 674.660 292.730 3 6 674.700 195.900 758.500 244.400 758.500 341.200 674.700 389.500 590.800 341.200 590.800 244.400 674.700 195.900 1 3.693 4.000 1.568 2.000 1.607 2.000 3 0 True 6 7.200 0 23.456 1 105020.000 105021 2 1 1 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_3 DAQ_1_2
