plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd
1 10 5 dOe 1255.80000 725.00000 0 5 1255.80000 628.40000 1297.70000 652.50000 1213.90000 797.50000 1172.10000 773.40000 1172.10000 676.70000 1255.80000 628.40000 0.00000 0.00000 0 0 0.71700 1.00000 0.35800 1.00000 0.35800 1.00000
1 10 6 bOe 1172.10000 870.00000 1 5 1255.80000 821.70000 1172.10000 966.70000 1088.40000 918.40000 1088.40000 821.70000 1172.10000 773.40000 1255.80000 821.70000 0.00000 0.00000 0 0 1.20400 2.00000 0.44700 1.00000 0.44700 1.00000
1 10 7 aOe 1088.40000 1015.10000 1 4 1172.10000 966.70000 1004.60000 1063.40000 1004.60000 966.70000 1088.40000 918.40000 1172.10000 966.70000 0.00000 0.00000 0.00000 0.00000 0 0 0.79800 1.00000 0.31700 1.00000 0.31700 1.00000
1 10 8 cOe 1004.60000 1160.10000 0 3 1004.60000 1063.40000 920.90000 1208.40000 920.90000 1111.70000 1004.60000 1063.40000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0 0 0.00000 0.00000 0.12000 0.00000 0.12000 0.00000
2 8 7 FO 753.50000 1015.10000 4 6 669.70000 1063.40000 669.80000 966.70000 753.50000 918.40000 837.20000 966.70000 837.20000 1063.40000 753.50000 1111.70000 669.70000 1063.40000 0 0 0.00000 2.00000 0.64800 1.00000 0.64400 1.00000
2 7 6 FM 669.80000 870.00000 4 6 586.00000 918.40000 586.00000 821.70000 669.70000 773.40000 753.50000 821.70000 753.50000 918.40000 669.80000 966.70000 586.00000 918.40000 0 0 0.00000 2.00000 0.82600 1.00000 0.80400 1.00000
2 6 5 FM 586.00000 725.00000 4 6 502.30000 773.40000 502.30000 676.70000 586.00000 628.40000 669.80000 676.70000 669.70000 773.40000 586.00000 821.70000 502.30000 773.40000 0 0 0.00000 2.00000 1.03000 1.00000 1.00900 1.00000
2 5 4 FMI 502.30000 580.00000 4 6 418.60000 628.40000 418.60000 531.70000 502.30000 483.40000 586.10000 531.70000 586.00000 628.40000 502.30000 676.70000 418.60000 628.40000 0 0 0.00000 2.00000 1.40300 2.00000 1.40100 2.00000
2 4 3 FI 418.60000 435.00000 1 6 334.80000 483.30000 334.90000 386.70000 418.60000 338.40000 502.30000 386.60000 502.30000 483.40000 418.60000 531.70000 334.80000 483.30000 0 0 0.00000 2.00000 2.32300 2.00000 2.45500 2.00000
2 3 2 FI 334.90000 290.00000 1 6 251.10000 338.40000 251.20000 241.70000 334.90000 193.40000 418.60000 241.70000 418.60000 338.40000 334.90000 386.70000 251.10000 338.40000 0 0 0.00000 2.00000 3.33500 3.00000 3.98000 4.00000
