# this is V11.1:
#  same geometry (i.e. wafer type, vertices coordinates etc)
#  as we got from M. Noy at the start of our (PS, GF) work, i.e. here:
# https://gitlab.cern.ch/mnoy/hgcal_modmap/-/blob/59b99c3771802d268d31a3f0c9ff84ccbd044d83/geometries/v11.1/geomCMSSW1-50_corrected_withmult_F_rotations_subcassettes.txt
# differences w.r.t it are organisation of numbers and extra columns:
# - vertices coordinates are always 2x12, to have fixed format
# - U,V added, as computed by MB_engine.py
# - cassette and sub-cassette index are now 2 separate columns (they were a single one, with two comma-separated-nums)
# - columns added: hash to identify each sensor,
#
plane itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 rate_d rate_t aa bb links_d links_t u v hash MB isEngine nROCs power mrot phi
2 FM 920.9 725.0 4 6 837.3 773.4 837.2 676.7 920.9 628.3 1004.7 676.7 1004.7 773.4 920.9 821.7 837.3 773.4 0 0 15.02 1.8 0.46 1.79 1 2 8 5 208050 -1 False 3 3.6000000000000005 4 38.21241476483334
2 FM 837.2 580.0 4 6 753.5 628.3 753.5 531.7 837.2 483.3 920.9 531.7 920.9 628.3 837.2 676.7 753.5 628.3 0 0 26.06 2.34 0.68 2.14 1 3 7 4 207040 -1 False 3 3.6000000000000005 4 34.71365486280657
2 FM 753.5 435.0 4 6 669.8 483.4 669.8 386.7 753.5 338.4 837.2 386.7 837.2 483.3 753.5 531.7 669.8 483.4 0 0 42.08 3.17 0.94 2.67 1 3 6 3 206030 -1 False 3 3.6000000000000005 4 29.9980935859781
2 FI 669.8 290.0 3 6 586.1 338.3 586.0 241.7 669.8 193.3 753.5 241.6 753.5 338.4 669.8 386.7 586.1 338.3 0 0 83.83 4.51 1.89 3.53 2 4 5 2 205020 -1 False 6 7.200000000000001 3 23.41092593165828
2 FI 586.0 145.0 3 6 502.4 193.3 502.3 96.7 586.1 48.3 669.8 96.7 669.8 193.3 586.0 241.7 502.4 193.3 0 0 128.48 6.71 2.61 4.48 3 5 4 1 204010 -1 False 6 7.200000000000001 3 13.89812614724088
2 FI 502.3 0.0 3 6 418.7 48.3 418.6 -48.4 502.3 -96.7 586.1 -48.3 586.1 48.3 502.3 96.7 418.7 48.3 0 0 189.64 9.84 3.6 5.66 4 6 3 0 203000 -1 False 6 7.200000000000001 3 0.0
2 FO 1088.4 725.0 4 6 1004.7 773.4 1004.7 676.7 1088.4 628.4 1172.1 676.7 1172.1 773.4 1088.4 821.7 1004.7 773.4 0 0 10.98 1.45 0.37 1.57 1 2 9 5 209050 -1 False 3 3.6000000000000005 4 33.66819519858885
2 FM 1004.6 580.0 4 6 920.9 628.3 920.9 531.7 1004.7 483.3 1088.3 531.7 1088.4 628.4 1004.7 676.7 920.9 628.3 0 0 15.9 1.83 0.48 1.81 1 2 8 4 208040 -1 False 3 3.6000000000000005 4 29.99973990859353
2 FM 920.9 435.0 4 6 837.2 483.3 837.2 386.7 921.0 338.4 1004.6 386.7 1004.7 483.3 920.9 531.7 837.2 483.3 0 0 25.51 2.34 0.67 2.14 1 3 7 3 207030 -1 False 3 3.6000000000000005 4 25.284363602508797
2 FM 837.2 290.0 3 6 753.5 338.4 753.5 241.6 837.2 193.3 920.9 241.7 921.0 338.4 837.2 386.7 753.5 338.4 0 0 39.55 3.06 0.9 2.6 1 3 6 2 206020 -1 False 3 3.6000000000000005 3 19.10571399681616
