plane itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 rate_d rate_t aa bb links_d links_t u v hash MB isEngine nROCs power mrot phi
2 FM 920.90000 435.00000 4 6 837.20000 483.30000 837.20000 386.70000 921.00000 338.40000 1004.60000 386.70000 1004.70000 483.30000 920.90000 531.70000 837.20000 483.30000 0 0 25.51000 2.34000 0.67000 2.14000 1 3 7 3 207030 7 False 3 3.60000 4 25.28436
2 FM 837.20000 290.00000 3 6 753.50000 338.40000 753.50000 241.60000 837.20000 193.30000 920.90000 241.70000 921.00000 338.40000 837.20000 386.70000 753.50000 338.40000 0 0 39.55000 3.06000 0.90000 2.60000 1 3 6 2 206020 5 False 3 3.60000 3 19.10571
2 FI 753.50000 145.00000 3 6 669.80000 193.30000 669.80000 96.70000 753.50000 48.30000 837.20000 96.70000 837.20000 193.30000 753.50000 241.60000 669.80000 193.30000 0 0 62.95000 4.07000 1.27000 3.25000 2 4 5 1 205010 3 True 6 7.20000 3 10.89258
2 FI 669.80000 -0.00000 3 6 586.10000 48.30000 586.10000 -48.30000 669.80000 -96.70000 753.50000 -48.30000 753.50000 48.30000 669.80000 96.70000 586.10000 48.30000 0 0 100.83000 5.39000 2.17000 4.09000 3 5 4 0 204000 0 True 6 7.20000 3 -0.00000
2 FO 1172.10000 580.00000 4 6 1088.40000 628.40000 1088.30000 531.70000 1172.10000 483.30000 1255.80000 531.70000 1255.80000 628.40000 1172.10000 676.70000 1088.40000 628.40000 0 0 11.00000 1.45000 0.37000 1.57000 1 2 9 4 209040 6 False 3 3.60000 4 26.32797
2 FM 1088.40000 435.00000 3 6 1004.70000 483.30000 1004.60000 386.70000 1088.40000 338.30000 1172.10000 386.70000 1172.10000 483.30000 1088.30000 531.70000 1004.70000 483.30000 0 0 16.37000 1.80000 0.49000 1.79000 1 2 8 3 208030 6 True 3 3.60000 3 21.78507
2 FM 1004.60000 290.00000 3 6 921.00000 338.40000 920.90000 241.70000 1004.70000 193.40000 1088.40000 241.70000 1088.40000 338.30000 1004.60000 386.70000 921.00000 338.40000 0 0 24.01000 2.23000 0.65000 2.07000 1 3 7 2 207020 5 True 3 3.60000 3 16.10195
2 FM 920.90000 145.00000 3 6 837.20000 193.30000 837.20000 96.70000 920.90000 48.30000 1004.60000 96.60000 1004.70000 193.40000 920.90000 241.70000 837.20000 193.30000 0 0 34.54000 2.77000 0.82000 2.41000 1 3 6 1 206010 2 False 3 3.60000 3 8.94802
2 FM 837.20000 -0.00000 3 6 753.50000 48.30000 753.50000 -48.30000 837.20000 -96.70000 920.90000 -48.30000 920.90000 48.30000 837.20000 96.70000 753.50000 48.30000 0 0 47.39000 3.42000 1.02000 2.83000 2 3 5 0 205000 1 False 3 3.60000 3 -0.00000
2 FM 1172.10000 290.00000 3 6 1088.40000 338.30000 1088.40000 241.70000 1172.10000 193.40000 1255.80000 241.70000 1255.80000 338.30000 1172.10000 386.70000 1088.40000 338.30000 0 0 13.49000 1.70000 0.42000 1.73000 1 2 8 2 208020 5 False 3 3.60000 3 13.89699
2 FM 1088.40000 145.00000 3 6 1004.70000 193.40000 1004.60000 96.60000 1088.40000 48.30000 1172.10000 96.70000 1172.10000 193.40000 1088.40000 241.70000 1004.70000 193.40000 0 0 20.07000 2.03000 0.57000 1.94000 1 2 7 1 207010 2 True 3 3.60000 3 7.58844
2 FM 1004.60000 -0.00000 3 6 920.90000 48.30000 920.90000 -48.30000 1004.70000 -96.70000 1088.30000 -48.30000 1088.40000 48.30000 1004.60000 96.60000 920.90000 48.30000 0 0 26.71000 2.40000 0.69000 2.18000 1 3 6 0 206000 1 True 3 3.60000 3 -0.00000
2 FO 1255.80000 145.00000 3 6 1172.10000 193.40000 1172.10000 96.70000 1255.80000 48.40000 1339.50000 96.70000 1339.50000 193.30000 1255.80000 241.70000 1172.10000 193.40000 0 0 11.68000 1.55000 0.38000 1.63000 1 2 8 1 208010 2 False 3 3.60000 3 6.58645
